ID	ra_center	dec_center
212	230.400000	-77.787510
213	237.600000	-77.787510
214	244.800000	-77.787510
215	252.000000	-77.787510
216	259.200000	-77.787510
217	266.400000	-77.787510
218	273.600000	-77.787510
219	280.800000	-77.787510
220	288.000000	-77.787510
221	295.200000	-77.787510
222	302.400000	-77.787510
223	309.600000	-77.787510
224	316.800000	-77.787510
225	324.000000	-77.787510
226	331.200000	-77.787510
227	338.400000	-77.787510
228	345.600000	-77.787510
229	352.800000	-77.787510
230	3.214300	-76.159170
231	9.642900	-76.159170
232	16.071400	-76.159170
233	22.500000	-76.159170
234	28.928600	-76.159170
235	35.357100	-76.159170
236	41.785700	-76.159170
237	48.214300	-76.159170
238	54.642900	-76.159170
239	61.071400	-76.159170
240	67.500000	-76.159170
241	73.928600	-76.159170
242	80.357100	-76.159170
243	86.785700	-76.159170
244	93.214300	-76.159170
245	99.642900	-76.159170
246	106.071400	-76.159170
247	112.500000	-76.159170
248	118.928600	-76.159170
249	125.357100	-76.159170
250	131.785700	-76.159170
251	138.214300	-76.159170
252	144.642900	-76.159170
253	151.071400	-76.159170
254	157.500000	-76.159170
255	163.928600	-76.159170
256	170.357100	-76.159170
257	176.785700	-76.159170
258	183.214300	-76.159170
259	189.642800	-76.159170
260	196.071400	-76.159170
261	202.500000	-76.159170
262	208.928600	-76.159170
263	215.357100	-76.159170
264	221.785700	-76.159170
265	228.214300	-76.159170
266	234.642800	-76.159170
267	241.071400	-76.159170
268	247.500000	-76.159170
269	253.928600	-76.159170
270	260.357100	-76.159170
271	266.785700	-76.159170
272	273.214300	-76.159170
273	279.642900	-76.159170
274	286.071400	-76.159170
275	292.500000	-76.159170
276	298.928600	-76.159170
277	305.357100	-76.159170
278	311.785700	-76.159170
279	318.214300	-76.159170
280	324.642900	-76.159170
281	331.071400	-76.159170
282	337.500000	-76.159170
283	343.928600	-76.159170
284	350.357100	-76.159170
285	356.785700	-76.159170
286	0.000000	-74.530840
287	5.806500	-74.530840
288	11.612900	-74.530840
289	17.419400	-74.530840
290	23.225800	-74.530840
291	29.032300	-74.530840
292	34.838700	-74.530840
293	40.645200	-74.530840
294	46.451600	-74.530840
295	52.258100	-74.530840
296	58.064500	-74.530840
297	63.871000	-74.530840
298	69.677400	-74.530840
299	75.483900	-74.530840
300	81.290300	-74.530840
301	87.096800	-74.530840
302	92.903200	-74.530840
303	98.709700	-74.530840
304	104.516100	-74.530840
305	110.322600	-74.530840
306	116.129000	-74.530840
307	121.935500	-74.530840
308	127.741900	-74.530840
309	133.548400	-74.530840
310	139.354800	-74.530840
311	145.161300	-74.530840
312	150.967700	-74.530840
313	156.774200	-74.530840
314	162.580700	-74.530840
315	168.387100	-74.530840
316	174.193600	-74.530840
317	180.000000	-74.530840
318	185.806500	-74.530840
319	191.612900	-74.530840
320	197.419400	-74.530840
321	203.225800	-74.530840
322	209.032300	-74.530840
323	214.838700	-74.530840
324	220.645200	-74.530840
325	226.451600	-74.530840
326	232.258100	-74.530840
327	238.064500	-74.530840
328	243.871000	-74.530840
329	249.677400	-74.530840
330	255.483900	-74.530840
331	261.290300	-74.530840
332	267.096800	-74.530840
333	272.903200	-74.530840
334	278.709700	-74.530840
335	284.516100	-74.530840
336	290.322600	-74.530840
337	296.129000	-74.530840
338	301.935500	-74.530840
339	307.741900	-74.530840
340	313.548400	-74.530840
341	319.354900	-74.530840
342	325.161300	-74.530840
343	330.967700	-74.530840
344	336.774200	-74.530840
345	342.580700	-74.530840
346	348.387100	-74.530840
347	354.193600	-74.530840
348	2.647100	-72.902500
349	7.941200	-72.902500
350	13.235300	-72.902500
351	18.529400	-72.902500
352	23.823500	-72.902500
353	29.117600	-72.902500
354	34.411800	-72.902500
355	39.705900	-72.902500
356	45.000000	-72.902500
357	50.294100	-72.902500
358	55.588200	-72.902500
359	60.882400	-72.902500
360	66.176500	-72.902500
361	71.470600	-72.902500
362	76.764700	-72.902500
363	82.058800	-72.902500
364	87.352900	-72.902500
365	92.647100	-72.902500
366	97.941200	-72.902500
367	103.235300	-72.902500
368	108.529400	-72.902500
369	113.823500	-72.902500
370	119.117600	-72.902500
371	124.411800	-72.902500
372	129.705900	-72.902500
373	135.000000	-72.902500
374	140.294100	-72.902500
375	145.588200	-72.902500
376	150.882400	-72.902500
377	156.176500	-72.902500
378	161.470600	-72.902500
379	166.764700	-72.902500
