ID	ra_center	dec_center
924	292.065500	32.483400
925	292.065300	-32.482800
926	297.953200	32.502400
927	297.952900	-32.501900
928	303.855100	32.522300
929	303.854700	-32.521800
930	309.767900	32.539200
931	309.767500	-32.538700
932	315.687400	32.550600
933	315.687000	-32.550200
934	321.609400	32.555100
935	321.609000	-32.554800
936	327.530500	32.552200
937	327.530000	-32.551900
938	333.447600	32.542400
939	333.447100	-32.542200
940	339.358700	32.527500
941	339.358200	-32.527300
942	345.262800	32.510400
943	345.262200	-32.510200
944	351.160200	32.495100
945	351.159600	-32.495000
946	357.052800	32.485800
947	357.052300	-32.485800
948	3.152500	37.487200
949	3.152000	-37.487200
950	9.462500	37.497200
951	9.461900	-37.497200
952	15.773200	37.513200
953	15.772700	-37.513300
954	22.084900	37.529800
955	22.084400	-37.530000
956	28.398300	37.542400
957	28.397800	-37.542700
958	34.714600	37.548100
959	34.714200	-37.548400
960	41.035400	37.545700
961	41.035000	-37.546100
962	47.361800	37.535900
963	47.361500	-37.536300
964	53.693500	37.521200
965	53.693100	-37.521600
966	60.027400	37.505300
967	60.027100	-37.505800
968	66.358200	37.492700
969	66.358000	-37.493200
970	72.681000	37.486900
971	72.680800	-37.487400
972	78.993800	37.488800
973	78.993700	-37.489300
974	85.297900	37.496600
975	85.297900	-37.497100
976	91.596400	37.507100
977	91.596400	-37.507600
978	97.892200	37.517400
979	97.892300	-37.517900
980	104.188400	37.525600
981	104.188500	-37.526200
982	110.488300	37.530700
983	110.488500	-37.531200
984	116.796200	37.531500
985	116.796500	-37.532000
986	123.115900	37.528200
987	123.116200	-37.528600
988	129.448600	37.522000
989	129.448900	-37.522400
990	135.790600	37.515400
991	135.791000	-37.515800
992	142.134500	37.510400
993	142.135000	-37.510800
994	148.472100	37.508300
995	148.472500	-37.508600
996	154.797500	37.508900
997	154.798000	-37.509100
998	161.109500	37.511100
999	161.110100	-37.511300
1000	167.411300	37.513300
1001	167.411900	-37.513400
1002	173.707600	37.514600
1003	173.708100	-37.514700
1004	180.001900	37.515200
1005	180.002400	-37.515200
1006	186.296200	37.515200
1007	186.296700	-37.515100
1008	192.592400	37.514300
1009	192.592900	-37.514200
1010	198.894100	37.512600
1011	198.894700	-37.512400
1012	205.206200	37.510900
1013	205.206700	-37.510700
1014	211.531500	37.510800
1015	211.531900	-37.510500
1016	217.868800	37.513400
1017	217.869300	-37.513000
1018	224.212500	37.518800
1019	224.212900	-37.518400
1020	230.554200	37.525800
1021	230.554500	-37.525400
1022	236.886400	37.532300
1023	236.886700	-37.531800
1024	243.205800	37.536000
1025	243.206000	-37.535500
1026	249.513300	37.535400
1027	249.513500	-37.534900
1028	255.812900	37.530600
1029	255.813000	-37.530100
1030	262.108700	37.522500
1031	262.108800	-37.522000
1032	268.404100	37.512400
1033	268.404100	-37.511900
1034	274.702200	37.502000
1035	274.702200	-37.501500
1036	281.006000	37.494300
1037	281.005900	-37.493800
1038	287.318200	37.492400
1039	287.318100	-37.491800
1040	293.640400	37.498000
1041	293.640200	-37.497500
1042	299.970700	37.510400
1043	299.970400	-37.509900
1044	306.304100	37.525800
1045	306.303700	-37.525400
1046	312.635200	37.540100
1047	312.634900	-37.539700
1048	318.961300	37.549500
1049	318.960900	-37.549100
1050	325.281800	37.551400
1051	325.281300	-37.551100
1052	331.597800	37.545300
1053	331.597300	-37.545000
1054	337.910900	37.532200
1055	337.910400	-37.532000
1056	344.222500	37.515000
1057	344.221900	-37.514900
1058	350.533000	37.498300
1059	350.532500	-37.498200
1060	356.842900	37.487600
1061	356.842400	-37.487600
1062	3.393900	42.473700
1063	3.393400	-42.473700
1064	10.186100	42.488700
1065	10.185500	-42.488800
1066	16.973400	42.511500
1067	16.972900	-42.511600
1068	23.757100	42.532400
1069	23.756600	-42.532600
1070	30.540900	42.544100
1071	30.540400	-42.544300
1072	37.328900	42.542500
1073	37.328400	-42.542800
1074	44.124300	42.527700
1075	44.123900	-42.528000
1076	50.929000	42.503800
1077	50.928700	-42.504200
1078	57.743300	42.479500
1079	57.743000	-42.479900
1080	64.563300	42.465300
1081	64.563000	-42.465700
1082	71.380000	42.467000
1083	71.379800	-42.467500
1084	78.183500	42.482200
1085	78.183400	-42.482600
1086	84.967300	42.503700
1087	84.967200	-42.504200
1088	91.732000	42.524300
1089	91.732000	-42.524800
1090	98.485900	42.538800
1091	98.486000	-42.539300
1092	105.241900	42.544600
1093	105.242000	-42.545100
1094	112.012200	42.539700
1095	112.012400	-42.540200
1096	118.803000	42.523400
1097	118.803300	-42.523800
1098	125.612400	42.499800
1099	125.612700	-42.500200
1100	132.433200	42.478600
1101	132.433500	-42.478900
1102	139.258400	42.468600
1103	139.258800	-42.468900
1104	146.082900	42.473400
1105	146.083400	-42.473700
1106	152.900700	42.490200
1107	152.901200	-42.490400
